Year,Country,Overall Social Status,Parents' Occupation,Home Possessions,Parents' Education
2015,ARE,-0.10241182752339328,58.710732163784606,0.1320601969364093,13.847483707458364
2015,ARG,-0.952903400078395,43.55142398291207,-0.1814713897558865,11.995115207373273
2015,AUS,0.0682881000102885,56.013240856750706,0.5061552789800396,13.426658395971685
2015,AUT,-0.09158901328723072,,0.46550416690454777,13.345045831514623
2015,BEL,-0.01752772638867783,51.55828561554217,0.40530307794133025,13.89907221664995
2015,BGR,-0.47106091240213743,47.7503482583487,0.021926389487694254,13.412092283214001
2015,BRA,-1.3364085483765897,41.12682029761648,-0.36879377719937967,10.890456630747893
2015,CAN,0.1504633898355298,55.02758762928057,0.42487398868575493,14.392754318618042
2015,CHE,-0.06890351882095153,53.13854397100795,0.4267989777716568,13.295412589994461
2015,CHL,-0.5312668836484085,46.8637477426338,0.0601249355912918,12.996598639455783
2015,COL,-1.1775812044623315,40.49089829825745,-0.34689409547250305,11.797989441761205
2015,CRI,-1.2100793372310472,41.61883671561256,-0.38827244841004904,11.763755980861244
2015,CZE,-0.20269621901596785,49.90466946714341,0.3180740104316175,13.372876503149456
2015,DEU,-0.10937982166850832,50.60285330277709,0.5301467083610055,12.901849948612538
2015,DNK,-0.09254703816553701,51.69977455737013,0.3892542607116767,13.51686185974319
2015,ESP,-0.24484406265257871,47.96014858276098,0.3965709115945381,12.980670523056869
2015,EST,-0.09206424825117622,51.3774156886691,0.2961917262334596,13.961970613656007
2015,FIN,0.265949591469641,55.637657200256136,0.5217702221706193,14.549771903146567
2015,FRA,-0.11204587684709713,51.63304599751244,0.37698915187877696,13.469397146801656
2015,GBR,-0.027136134190665052,53.727933905792334,0.34963662028308773,13.859105213915115
2015,GRC,-0.3189918448650128,48.627949047885075,0.18537841069605468,13.454835493519441
2015,HKG,-0.7657060744744014,45.241235980917764,0.1412608688053762,11.39260008996851
2015,HRV,-0.5122556155768628,44.3195139174629,0.060747267540262974,13.370097048119693
2015,HUN,-0.3302310316492379,46.28728160822937,0.23837926285366667,13.40628362384334
2015,IDN,-2.072113001471302,32.605764253062,-0.9444648247179784,10.180036297640653
2015,IRL,-0.08915288577655399,51.9988844733848,0.35979788873964375,13.621307801996334
2015,ISL,0.3998741982846455,58.44382649924311,0.6856420719944919,14.255052790346909
2015,ISR,0.020283836844456768,56.45634297194893,0.3115932050930167,14.002943031322262
2015,ITA,-0.35284816366534044,46.96158793891929,0.3322746172899945,12.741336674469979
2015,JOR,-0.7504453745958365,47.14035179535299,-0.2935375877883287,13.314610098595757
2015,JPN,-0.24276316891836056,49.69691764022909,0.10044829462585883,14.194499178981937
2015,KAZ,-0.2876893830914104,52.94817498939684,-0.17651000250423593,14.861370716510903
2015,KOR,-0.27287011138654715,53.198379789653785,0.014267737871186816,14.022975708502024
2015,LTU,-0.23147197210948187,49.371905015519566,0.12013921996741965,14.197544896567402
2015,LVA,-0.2487510216025468,49.52890943331728,0.15999750854935554,13.884692597239649
2015,MAC,-1.031025023755003,44.57570477902979,-0.012050587725681646,10.619129438717067
2015,MEX,-1.441453446041721,40.66435825578875,-0.5402736566377523,11.121378395489765
2015,MNE,-0.3835868664860709,44.42291200274725,0.14755003858522292,13.714161409614967
2015,MYS,-0.9876177214439962,43.628537882306325,-0.24160161998027438,12.076614481409003
2015,NLD,0.05363159381437271,55.744240768160374,0.46629249013796203,13.563277764733506
2015,NOR,0.34299362911496345,58.767963311175556,0.6555435016306109,14.019798580910964
2015,NZL,-0.10895112530565612,54.59267364848337,0.2969997043597836,13.565582371458552
2015,PER,-1.55078080741368,35.11949077908541,-0.6179047319260762,11.464137931034482
2015,POL,-0.4212029568377479,45.47056418256251,0.21805046078254714,13.044632894443204
2015,PRT,-0.7908148492153317,42.08449521799495,0.35031933054556214,10.626196928635952
2015,QAT,0.024811811292771175,60.404204283421926,0.19812128303209162,14.08715018882541
2015,ROU,-0.715985601419288,41.40317216072508,-0.15677032713176833,13.5280617358188
2015,SGP,-0.15329055137048966,56.778351205005514,0.29368308618370514,13.017345814977974
2015,SRB,-0.47851476124777775,46.40416099358123,0.008959289569443219,13.5905031583533
2015,SVK,-0.580852766674665,42.76977548121805,0.08939548475530183,13.014391626689926
2015,SVN,-0.18692461824581919,48.670705682042254,0.40324821806316063,13.196472231924554
2015,SWE,0.28679451817415147,54.43769704473684,0.6531879086792274,14.191873589164786
2015,TAP,-0.46538861251628816,47.11366918415198,0.10113873191520482,13.163471157052351
2015,THA,-1.2865016399100242,37.80892604123026,-0.1849395462351656,10.71819990815858
2015,TUR,-1.8023355909406047,33.71570142508856,-0.5127400976163793,9.647806004618937
2015,URY,-1.1967139017609905,39.51464093803089,-0.1588821972892532,10.911145752143414
2015,USA,-0.12401796171560824,54.09006276944037,0.24101469589281385,13.752471169686984
2015,VNM,-1.943488465771829,26.656729972312043,-0.5417144596833622,9.732657200811358
2018,ARE,0.14740859415266858,63.014418082448,0.215690393459941,14.457666980244591
2018,AUS,0.11487517893216238,55.816931614727054,0.5144756360528284,13.7043440360308
2018,AUT,-0.055961295038312174,51.205912076829634,0.4337232954584232,13.563472262987966
2018,BEL,0.009005198755396189,52.59863083056885,0.3704435398944261,14.122650733297121
2018,BGR,-0.23728489581742734,49.57091035639737,0.16751131820329737,13.926903641749433
2018,BRA,-1.2204710028594103,42.35607060806713,-0.3526134625258245,11.410430626493604
2018,CAN,0.25071716121053306,56.850939742158516,0.46159987159801946,14.62741683991684
2018,CHE,-0.033829100994790924,52.25039941309824,0.4164372979201222,13.651631477927063
